goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
0,0,0,14,66.67,3,42.86,6,85.71,5,1,76.36,17,60.71,356,3,2,0,4,0,0,0,0,0,0,0,0,0,0,22,1,84,2,7,41.18,6,33.33,1,20,4,0,1,0,0,0,0,0,,0,0,0,Stephen Kingsley,Swansea City,151118,74,DF
2,0,0,59,61.46,9,34.62,4,44.44,34,1,82.14,68,55.74,1477,21,6,11,18,0,0,0,0,0,0,0,0,0,0,204,2,621,22,25,24.27,57,49.57,29,42,15,0,9,3,3,22.22,1,4,,0,0,0,Leighton Baines,Everton,9766,48,DF
1,3,0,127,54.04,39,50.65,63,66.32,57,5,85.66,166,53.21,3240,8,19,37,36,0,0,0,0,0,0,0,0,0,0,484,9,1446,25,19,17.43,33,48.53,66,85,22,0,13,3,5,7.69,1,1,,0,2,2,Héctor Bellerín,Arsenal,188365,42,DF
0,5,0,109,65.27,48,47.06,20,66.67,77,,76.72,157,58.36,2924,12,21,6,33,0,0,0,0,0,0,0,0,0,0,95,0,880,4,4,40,110,41.98,96,231,24,0,12,2,3,0,0,0,,2,1,0,Chancel Mbemba,Newcastle United,238612,39,DF
1,1,0,49,62.03,6,37.5,1,33.33,37,1,74.3,55,57.89,1084,11,15,5,15,0,0,0,0,0,0,0,0,0,0,109,2,318,14,10,27.03,41,47.67,24,34,8,0,3,2,1,33.33,0,2,,1,1,2,Cuco Martina,Southampton,73763,45,DF
2,2,0,49,60.49,96,61.15,4,100,31,3,72.7,145,60.92,2880,15,18,5,32,0,0,0,0,0,0,0,0,0,0,92,5,767,10,2,28.57,114,37.38,56,204,12,1,21,7,2,9.52,1,0,,0,2,0,Damien Delaney,Crystal Palace,10038,7,DF
0,3,1,72,53.73,59,52.68,9,69.23,52,,71.58,131,53.25,2613,12,29,8,30,0,0,0,0,0,0,0,0,0,0,126,0,622,6,5,17.24,54,33.54,94,125,22,1,7,2,2,0,0,0,,0,2,0,Danny Simpson,Leicester City,30502,31,DF
0,1,0,18,40.91,14,45.16,6,54.55,9,1,85.98,32,42.67,450,3,8,6,5,0,0,0,0,0,0,0,0,0,0,76,1,233,4,5,38.46,13,59.09,5,19,7,0,1,1,0,0,0,1,,0,0,0,Luke Shaw,Manchester United,190839,35,DF
0,10,0,172,59.72,47,51.65,8,50,116,1,77.73,219,57.78,3096,50,59,14,35,0,0,0,0,0,0,0,0,0,0,226,3,1169,19,13,12.62,60,34.88,96,93,37,0,5,1,2,0,0,0,,0,2,0,Erik Pieters,Stoke City,17063,29,DF
0,6,0,70,56.45,36,59.02,13,76.47,43,,79.89,106,57.3,1821,17,19,15,23,0,0,0,0,0,0,0,0,0,0,219,0,1021,12,11,23.4,65,44.52,59,72,18,1,14,0,3,0,1,2,,0,2,0,Àngel Rangel,Swansea City,27463,74,DF
1,0,0,40,65.57,67,70.53,4,57.14,30,1,80.43,107,68.59,1918,8,9,3,23,0,0,0,0,0,0,0,0,0,0,24,1,592,1,1,25,37,37,36,123,7,1,17,2,3,5.88,1,2,,0,2,0,Kurt Zouma,Chelsea,139227,38,DF
0,1,0,49,65.33,12,80,3,75,31,1,76.67,61,67.78,816,15,12,5,11,0,0,0,0,0,0,0,0,0,0,55,1,230,4,2,14.29,17,36.17,18,32,8,0,7,2,2,0,0,0,,0,0,0,Phil Bardsley,Stoke City,768,29,DF
0,0,0,3,75,0,0,1,100,2,,84.62,3,75,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,11,1,1,50,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,Adam Matthews,Sunderland,50826,41,DF
0,0,0,1,25,0,0,0,0,1,,82.35,1,20,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,1,50,3,0,2,0,1,1,0,0,0,0,,0,0,0,Tony Hibbert,Everton,1144,48,DF
0,0,0,12,63.16,20,83.33,2,100,9,,84.69,32,74.42,528,2,4,2,10,0,0,0,0,0,0,0,0,0,0,36,0,271,0,2,66.67,13,43.33,13,24,1,0,1,0,1,0,0,0,,0,0,0,Phil Jones,Manchester United,93868,35,DF
0,5,0,65,64.36,62,66.67,8,88.89,43,,79.37,127,65.46,2328,16,21,9,28,0,0,0,0,0,0,0,0,0,0,62,0,750,2,1,100,78,45.35,50,161,8,0,6,0,2,0,1,0,,1,0,0,Angelo Ogbonna,West Ham United,21164,37,DF
2,5,0,28,44.44,29,54.72,0,0,23,,73.67,57,49.14,1776,6,23,2,21,0,0,0,0,0,0,0,0,0,0,38,0,375,2,1,100,58,38.93,65,92,10,1,13,5,2,15.38,0,0,,0,1,0,Sebastian Prödl,Watford,15038,24,DF
0,0,0,13,72.22,7,46.67,2,100,7,,79.79,20,60.61,461,4,4,1,8,0,0,0,0,0,0,0,0,0,0,8,0,154,1,0,0,12,46.15,16,28,0,1,1,0,0,0,0,0,,0,0,0,Jordi Amat,Swansea City,106273,74,DF
1,6,0,43,60.56,50,62.5,9,69.23,24,,76.03,93,61.59,1442,11,14,3,18,0,0,0,0,0,0,0,0,0,0,35,1,425,4,1,100,30,29.7,47,127,9,1,10,2,0,10,0,0,,1,0,0,Ciaran Clark,Aston Villa,45680,40,DF
0,1,1,34,68,54,78.26,3,100,27,,89.4,88,73.95,2049,6,7,4,24,0,0,0,0,0,0,0,0,0,0,63,1,1113,2,0,0,45,50.56,36,109,5,2,8,2,1,0,0,1,,0,2,0,Per Mertesacker,Arsenal,369,42,DF
0,8,0,43,43.88,41,66.13,5,83.33,32,,87.44,84,52.5,2010,6,36,7,23,0,0,0,0,0,0,0,0,0,0,27,0,877,0,0,0,41,56.94,66,120,15,1,7,1,0,0,0,0,,1,2,0,Eliaquim Mangala,Manchester City,42892,17,DF
0,3,0,59,54.63,30,56.6,4,40,43,1,73.14,89,55.28,1253,12,20,8,16,0,0,0,0,0,0,0,0,0,0,161,1,512,11,11,20.75,26,28.26,27,32,15,0,8,1,3,0,0,1,,0,0,1,Marcos Rojo,Manchester United,46998,35,DF
0,2,0,72,51.43,20,54.05,25,43.86,36,2,78.92,92,51.98,836,11,18,7,10,0,0,0,0,0,0,0,0,0,0,74,1,292,7,5,12.5,19,43.18,37,32,11,0,5,1,3,0,0,0,,1,0,0,Jordan Amavi,Aston Villa,342915,40,DF
0,6,0,67,48.55,102,71.33,5,100,50,,71.57,169,60.14,1530,16,36,9,27,0,0,0,0,0,0,0,0,0,0,142,2,594,8,1,16.67,51,45.95,55,58,27,0,13,1,5,0,1,2,,1,0,0,Mile Jedinak,Crystal Palace,24685,7,DF
2,5,0,168,61.09,21,39.62,46,61.33,71,,84.19,189,57.62,2096,51,33,16,31,0,0,0,0,0,0,0,0,0,0,228,1,767,15,11,19.64,36,49.32,44,49,29,0,15,4,6,13.33,0,2,,0,0,1,Adam Smith,Bournemouth,44566,60,DF
2,5,0,97,56.73,81,66.39,10,66.67,66,2,82.86,178,60.75,2918,22,32,10,33,0,0,0,0,0,0,0,0,0,0,250,2,1078,14,9,12.16,71,47.33,60,87,29,3,28,7,11,7.14,0,1,,2,2,1,Branislav Ivanović,Chelsea,25233,38,DF
